2376384513,246651643,-0.785252894,-1.76247876
2376384513,2376384517,-1.179292588,-1.783334315
2921633615,2921633624,0.189640704,-2.445745449
2921633615,247069951,-1.380168035,-2.445875205
2376384517,2376384513,-1.179292588,-1.783334315
2376384517,2376384524,-1.033847883,-1.778410064
373956614,373956605,-0.017724959,-1.569830987
373956614,373956622,-0.878007411,-1.462338527
2376384521,246580068,-0.744142651,-1.390059851
2376384521,246580069,-0.683431027,-1.317662128
387184879,3360773034,0.169106392,-0.464224015
387184879,1739869226,-1.26844724,-0.826702416
2376384523,246651643,-0.017901234,-1.791856566
2376384523,246651653,-0.728480466,-1.984618258
2376384524,246651642,-0.91244438,-1.753242285
2376384524,2376384517,-1.033847883,-1.778410064
373956622,373956614,-0.878007411,-1.462338527
373956622,2376384647,-1.525359685,-1.409832064
2631319571,2631319572,0.03842459,0.344228946
2631319571,42427437,0.214976243,-0.000283479
2631319571,42427438,0.509143074,0.242765751
2631319572,2631319571,0.03842459,0.344228946
2631319572,2631319573,-1.005009571,0.531260712
2631319573,2631319572,-1.005009571,0.531260712
2631319573,2631319574,-0.596078939,0.696730659
2631319574,2631319573,-0.596078939,0.696730659
2631319574,2631319575,-0.456667925,0.902937084
2631319575,2631319576,-0.535039681,1.063256082
2631319575,2631319574,-0.456667925,0.902937084
2631319576,2631319577,-0.666796649,1.156868755
2631319576,2631319575,-0.535039681,1.063256082
2631319577,2631319576,-0.666796649,1.156868755
2631319577,2631319578,-0.548112941,1.204185436
2631319578,2631319577,-0.548112941,1.204185436
2631319578,2631319579,-0.149554501,1.203850097
2631319579,2631319578,-0.149554501,1.203850097
2631319579,1261680442,1.30189297,1.396652487
2631319579,42435629,1.375766813,0.94201186
373956636,247072112,-0.028128752,-0.976271376
373956636,373956629,-0.888072678,-1.239990403
2376384541,2376384542,-0.420542526,-2.177991259
2376384541,246651654,-0.14962207,-2.099808367
2376384542,2376384544,-0.750960436,-2.220563418
2376384542,2376384541,-0.420542526,-2.177991259
